r,phi,I_sp (s),γ,CT,Cp (kJ/kg·K),T1,MW,C^*,C (m/s),Y_OH
8.0,0.9920634920634921,464.5975772147787,1.3271929879795734,1.6833446123345632,1.872,7175.925925925926,18.015,2707.527739169275,4557.70223247698, 0
6.0,1.3227513227513228,462.8701958584132,1.3433040533201497,1.676405496319723,2.3053672161008625,5673.175923946821,14.111244000000001,2708.626660637614,4540.756621371033, 0
4.7,1.6886187098953058,461.8114531102386,1.355040097799215,1.6714974879748172,2.761479102541469,4653.679431483269,11.4906078,2710.366236027329,4530.370355011441, 0
